Image,Model,Condition,Precision,Recall,F1_Score,Dice,Panoptic Quality
W97933U4-x14715_y12825_w512_h512-img.tif,DeepCell,baseline,0.06529878613465043,0.2142798790948452,0.1000950196717433,0.1000950196717433,0.0
W97933U4-x14715_y12825_w512_h512-img.tif,DeepCell,clahe,0.056301398391824006,0.18109631566048526,0.0858978432542604,0.0858978432542604,0.0
W97933U4-x14715_y12825_w512_h512-img.tif,DeepCell,deconv,0.6689585666293393,0.9760313699861123,0.7938340918906348,0.7938340918906348,0.4892270162201041
W97728Y3-x7680_y19456_w512_h512-img.tif,DeepCell,baseline,0.019830300442926517,0.1771210676835081,0.035667322551230986,0.035667322551230986,0.0
W97728Y3-x7680_y19456_w512_h512-img.tif,DeepCell,clahe,0.012953310901453673,0.1122974261201144,0.023227383863080684,0.023227383863080684,0.0
W97728Y3-x7680_y19456_w512_h512-img.tif,DeepCell,deconv,0.27090491074888273,0.9997140133460438,0.4262921485335664,0.4262921485335664,0.07460595581485527
W97938W4-x6380_y13137_w512_h512-img.tif,DeepCell,baseline,0.08313024293886766,0.49197874493927124,0.14222804181327403,0.14222804181327403,0.001251937118920492
W97938W4-x6380_y13137_w512_h512-img.tif,DeepCell,clahe,0.061950524064735855,0.35625,0.10554685098694815,0.10554685098694815,0.0
W97938W4-x6380_y13137_w512_h512-img.tif,DeepCell,deconv,0.45696308379827,0.843496963562753,0.5927855675786217,0.5927855675786217,0.25609157018752965
W97937Z5-x15698_y14637_w512_h512-img.tif,DeepCell,baseline,0.12794671807904653,0.3436810357510666,0.18647274352813456,0.18647274352813456,0.0
W97937Z5-x15698_y14637_w512_h512-img.tif,DeepCell,clahe,0.10716301083098206,0.34644696189495366,0.16369260713913317,0.16369260713913317,0.0
W97937Z5-x15698_y14637_w512_h512-img.tif,DeepCell,deconv,0.32290722416770834,0.9957628365455348,0.4876716671710403,0.4876716671710403,0.0809531233898652
W97727X8-x9728_y11776_w512_h512-img.tif,DeepCell,baseline,0.0018789728281872577,0.06135770234986945,0.003646284539494951,0.003646284539494951,0.0
W97727X8-x9728_y11776_w512_h512-img.tif,DeepCell,clahe,0.0009717033289215768,0.037859007832898174,0.0018947746688227896,0.0018947746688227896,0.0
W97727X8-x9728_y11776_w512_h512-img.tif,DeepCell,deconv,0.03166927645602102,0.9989120974760661,0.06139218924466613,0.06139218924466613,0.004332740966404333
W97727X8-x15360_y14848_w512_h512-img.tif,DeepCell,baseline,0.027454036228937977,0.18910929599377674,0.047947299389564414,0.047947299389564414,0.0
W97727X8-x15360_y14848_w512_h512-img.tif,DeepCell,clahe,0.021659335659032306,0.16662777129521586,0.03833557046979866,0.03833557046979866,0.0
W97727X8-x15360_y14848_w512_h512-img.tif,DeepCell,deconv,0.46723363522568295,0.9872423181641384,0.6342804308169028,0.6342804308169028,0.3640713009379831
W97728Y3-x9728_y9216_w512_h512-img.tif,DeepCell,baseline,0.022337486833999085,0.12260034904013961,0.03778976919326912,0.03778976919326912,0.0
W97728Y3-x9728_y9216_w512_h512-img.tif,DeepCell,clahe,0.017681578173542836,0.15085078534031413,0.03165302969617211,0.03165302969617211,0.0
W97728Y3-x9728_y9216_w512_h512-img.tif,DeepCell,deconv,0.2507229214287681,0.9930191972076788,0.4003606059939752,0.4003606059939752,0.0
W97937Z5-x8253_y18750_w512_h512-img.tif,DeepCell,baseline,0.11716077537058153,0.3184441947855732,0.1712981776124535,0.1712981776124535,0.0
W97937Z5-x8253_y18750_w512_h512-img.tif,DeepCell,clahe,0.10640312189715288,0.3570294037887886,0.16394638298629333,0.16394638298629333,0.0
W97937Z5-x8253_y18750_w512_h512-img.tif,DeepCell,deconv,0.2777728902280775,0.9785379459962035,0.432713474436174,0.432713474436174,0.08607633817584759
W97939U8-x12288_y10240_w512_h512-img.tif,DeepCell,baseline,0.0208517198619195,0.21575540399953763,0.03802819770995477,0.03802819770995477,0.0
W97939U8-x12288_y10240_w512_h512-img.tif,DeepCell,clahe,0.013050985171643307,0.163391515431742,0.024171276623032395,0.024171276623032395,0.0
W97939U8-x12288_y10240_w512_h512-img.tif,DeepCell,deconv,0.11252968927932325,0.999479828921512,0.20228451780063986,0.20228451780063986,0.04335414631742711
W97937Z5-x18915_y4265_w512_h512-img.tif,DeepCell,baseline,0.22150443908645498,0.6369976550497292,0.3287069635471269,0.3287069635471269,0.0
W97937Z5-x18915_y4265_w512_h512-img.tif,DeepCell,clahe,0.18628769356153219,0.5544796636209267,0.27888037090509793,0.27888037090509793,0.002899001734695941
W97937Z5-x18915_y4265_w512_h512-img.tif,DeepCell,deconv,0.44217964028516626,0.988012452494542,0.6109375,0.6109375,0.1482314653338982
W97933U4-x12411_y10500_w512_h512-img.tif,DeepCell,baseline,0.06493669299235301,0.2448207955888145,0.10264709282163911,0.10264709282163911,0.0
W97933U4-x12411_y10500_w512_h512-img.tif,DeepCell,clahe,0.05245701568613374,0.19186031245897334,0.08238809335889052,0.08238809335889052,0.0
W97933U4-x12411_y10500_w512_h512-img.tif,DeepCell,deconv,0.5691176698667741,0.9635026913482998,0.715567169126967,0.715567169126967,0.4244926699679324
