Image,Model,Condition,Precision,Recall,F1_Score,Dice,Panoptic Quality
W97933U4-x14715_y12825_w512_h512-img.tif,HoVer-Net,baseline,0.23237941576086957,0.9836287884976718,0.37594332406011044,0.37594332406011044,0.0
W97933U4-x14715_y12825_w512_h512-img.tif,HoVer-Net,clahe,0.23237941576086957,0.9836287884976718,0.37594332406011044,0.37594332406011044,0.0
W97933U4-x14715_y12825_w512_h512-img.tif,HoVer-Net,deconv,0.23237941576086957,0.9836287884976718,0.37594332406011044,0.37594332406011044,0.0
W97728Y3-x7680_y19456_w512_h512-img.tif,HoVer-Net,baseline,0.038533689476284584,0.9516682554814109,0.07406830339587925,0.07406830339587925,0.0
W97728Y3-x7680_y19456_w512_h512-img.tif,HoVer-Net,clahe,0.038533689476284584,0.9516682554814109,0.07406830339587925,0.07406830339587925,0.0
W97728Y3-x7680_y19456_w512_h512-img.tif,HoVer-Net,deconv,0.038533689476284584,0.9516682554814109,0.07406830339587925,0.07406830339587925,0.0
W97938W4-x6380_y13137_w512_h512-img.tif,HoVer-Net,baseline,0.14891227149209485,0.9761892712550607,0.2584061193869896,0.2584061193869896,0.0
W97938W4-x6380_y13137_w512_h512-img.tif,HoVer-Net,clahe,0.14891227149209485,0.9761892712550607,0.2584061193869896,0.2584061193869896,0.0
W97938W4-x6380_y13137_w512_h512-img.tif,HoVer-Net,deconv,0.14891227149209485,0.9761892712550607,0.2584061193869896,0.2584061193869896,0.0
W97937Z5-x15698_y14637_w512_h512-img.tif,HoVer-Net,baseline,0.13079375617588934,0.9970575253788436,0.23125194074872807,0.23125194074872807,0.0
W97937Z5-x15698_y14637_w512_h512-img.tif,HoVer-Net,clahe,0.13079375617588934,0.9970575253788436,0.23125194074872807,0.23125194074872807,0.0
W97937Z5-x15698_y14637_w512_h512-img.tif,HoVer-Net,deconv,0.13079375617588934,0.9970575253788436,0.23125194074872807,0.23125194074872807,0.0
W97727X8-x9728_y11776_w512_h512-img.tif,HoVer-Net,baseline,0.01774024209486166,1.0,0.034862023453737276,0.034862023453737276,0.0
W97727X8-x9728_y11776_w512_h512-img.tif,HoVer-Net,clahe,0.01774024209486166,1.0,0.034862023453737276,0.034862023453737276,0.0
W97727X8-x9728_y11776_w512_h512-img.tif,HoVer-Net,deconv,0.01774024209486166,1.0,0.034862023453737276,0.034862023453737276,0.0
W97727X8-x15360_y14848_w512_h512-img.tif,HoVer-Net,baseline,0.049619410820158104,1.0,0.09454743368624667,0.09454743368624667,0.0
W97727X8-x15360_y14848_w512_h512-img.tif,HoVer-Net,clahe,0.049619410820158104,1.0,0.09454743368624667,0.09454743368624667,0.0
W97727X8-x15360_y14848_w512_h512-img.tif,HoVer-Net,deconv,0.049619410820158104,1.0,0.09454743368624667,0.09454743368624667,0.0
W97728Y3-x9728_y9216_w512_h512-img.tif,HoVer-Net,baseline,0.034731657608695655,0.981457242582897,0.06708917387414257,0.06708917387414257,0.0
W97728Y3-x9728_y9216_w512_h512-img.tif,HoVer-Net,clahe,0.034731657608695655,0.981457242582897,0.06708917387414257,0.06708917387414257,0.0
W97728Y3-x9728_y9216_w512_h512-img.tif,HoVer-Net,deconv,0.034731657608695655,0.981457242582897,0.06708917387414257,0.06708917387414257,0.0
W97937Z5-x8253_y18750_w512_h512-img.tif,HoVer-Net,baseline,0.09963639451581027,1.0,0.18121698229109992,0.18121698229109992,0.0
W97937Z5-x8253_y18750_w512_h512-img.tif,HoVer-Net,clahe,0.10054976851851852,0.9962034633711696,0.18266283558924126,0.18266283558924126,0.0
W97937Z5-x8253_y18750_w512_h512-img.tif,HoVer-Net,deconv,0.09963639451581027,1.0,0.18121698229109992,0.18121698229109992,0.0
W97939U8-x12288_y10240_w512_h512-img.tif,HoVer-Net,baseline,0.0665529273715415,0.9965321928100798,0.12477295259322513,0.12477295259322513,0.0
W97939U8-x12288_y10240_w512_h512-img.tif,HoVer-Net,clahe,0.0665529273715415,0.9965321928100798,0.12477295259322513,0.12477295259322513,0.0
W97939U8-x12288_y10240_w512_h512-img.tif,HoVer-Net,deconv,0.0665529273715415,0.9965321928100798,0.12477295259322513,0.12477295259322513,0.0
W97937Z5-x18915_y4265_w512_h512-img.tif,HoVer-Net,baseline,0.18744982089920947,0.9817053448694105,0.31479224735852723,0.31479224735852723,0.0
W97937Z5-x18915_y4265_w512_h512-img.tif,HoVer-Net,clahe,0.18260820990806945,0.9251637422171909,0.3050131293070125,0.3050131293070125,0.0
W97937Z5-x18915_y4265_w512_h512-img.tif,HoVer-Net,deconv,0.18744982089920947,0.9817053448694105,0.31479224735852723,0.31479224735852723,0.0
W97933U4-x12411_y10500_w512_h512-img.tif,HoVer-Net,baseline,0.21295005070993914,0.7056846527504267,0.32717157760829735,0.32717157760829735,0.0
W97933U4-x12411_y10500_w512_h512-img.tif,HoVer-Net,clahe,0.21618175287356323,0.6321123802021793,0.3221787279601191,0.3221787279601191,0.0
W97933U4-x12411_y10500_w512_h512-img.tif,HoVer-Net,deconv,0.21295005070993914,0.7056846527504267,0.32717157760829735,0.32717157760829735,0.0
W97939U8-x2560_y10240_w512_h512-img.tif,HoVer-Net,baseline,0.024641861054766734,0.31468177678842457,0.04570471228810134,0.04570471228810134,0.0
W97939U8-x2560_y10240_w512_h512-img.tif,HoVer-Net,clahe,0.02621809398854962,0.35586360416877466,0.048838065085018784,0.048838065085018784,0.0
W97939U8-x2560_y10240_w512_h512-img.tif,HoVer-Net,deconv,0.025504133266533065,0.3296569867449155,0.04734536101201072,0.04734536101201072,0.0
W97728Y3-x10752_y19968_w512_h512-img.tif,HoVer-Net,baseline,0.05409324290060852,0.4156974974121659,0.09572953986160092,0.09572953986160092,0.0
W97728Y3-x10752_y19968_w512_h512-img.tif,HoVer-Net,clahe,0.05344282314629258,0.4156974974121659,0.09470960760784368,0.09470960760784368,0.0
W97728Y3-x10752_y19968_w512_h512-img.tif,HoVer-Net,deconv,0.05409324290060852,0.4156974974121659,0.09572953986160092,0.09572953986160092,0.0
W97938W4-x11819_y11407_w512_h512-img.tif,HoVer-Net,baseline,0.17365777129817445,0.5087157347445628,0.2589269364585241,0.2589269364585241,0.0
W97938W4-x11819_y11407_w512_h512-img.tif,HoVer-Net,clahe,0.1714469178082192,0.5205765615207855,0.25794282888343234,0.25794282888343234,0.0
W97938W4-x11819_y11407_w512_h512-img.tif,HoVer-Net,deconv,0.17365777129817445,0.5087157347445628,0.2589269364585241,0.2589269364585241,0.0
W97727X8-x8704_y7680_w512_h512-img.tif,HoVer-Net,baseline,0.07820328156312625,0.4646079434471212,0.13387293461801322,0.13387293461801322,0.0
W97727X8-x8704_y7680_w512_h512-img.tif,HoVer-Net,clahe,0.08173249282982792,0.5089294019161008,0.14084561426089195,0.14084561426089195,0.0
W97727X8-x8704_y7680_w512_h512-img.tif,HoVer-Net,deconv,0.07853701825557809,0.4609803739187052,0.13420892288944553,0.13420892288944553,0.0
X97655Y7-x9216_y11264_w512_h512-img.tif,HoVer-Net,baseline,0.07598567444219068,0.6452698156371955,0.13596087048982775,0.13596087048982775,0.0
X97655Y7-x9216_y11264_w512_h512-img.tif,HoVer-Net,clahe,0.07529120741482966,0.64715381509891,0.13488913509950493,0.13488913509950493,0.0
X97655Y7-x9216_y11264_w512_h512-img.tif,HoVer-Net,deconv,0.07529120741482966,0.64715381509891,0.13488913509950493,0.13488913509950493,0.0
W97943W5-x10240_y16896_w512_h512-img.tif,HoVer-Net,baseline,0.06235737829614604,0.4830888220489841,0.11045691548712623,0.11045691548712623,0.0
W97943W5-x10240_y16896_w512_h512-img.tif,HoVer-Net,clahe,0.06160759018036072,0.4830888220489841,0.10927899468879092,0.10927899468879092,0.0
W97943W5-x10240_y16896_w512_h512-img.tif,HoVer-Net,deconv,0.06235737829614604,0.4830888220489841,0.11045691548712623,0.11045691548712623,0.0
X97466X7-x12184_y11681_w512_h512-img.tif,HoVer-Net,baseline,0.3288143382352941,0.475595081196924,0.3888131543812803,0.3888131543812803,0.0
X97466X7-x12184_y11681_w512_h512-img.tif,HoVer-Net,clahe,0.3300374348958333,0.4647764649254501,0.38598628513779104,0.38598628513779104,0.0
X97466X7-x12184_y11681_w512_h512-img.tif,HoVer-Net,deconv,0.3288143382352941,0.475595081196924,0.3888131543812803,0.3888131543812803,0.0
W97939U8-x2560_y10752_w512_h512-img.tif,HoVer-Net,baseline,0.039569599391480734,0.42175491934802806,0.07235112170316337,0.07235112170316337,0.0
W97939U8-x2560_y10752_w512_h512-img.tif,HoVer-Net,clahe,0.0393857121749409,0.360189173211722,0.0710070008074653,0.0710070008074653,0.0
W97939U8-x2560_y10752_w512_h512-img.tif,HoVer-Net,deconv,0.039569599391480734,0.42175491934802806,0.07235112170316337,0.07235112170316337,0.0
W97943X3-x17920_y16896_w512_h512-img.tif,HoVer-Net,baseline,0.05628803245436106,0.5336137609855028,0.10183413249618337,0.10183413249618337,0.0
W97943X3-x17920_y16896_w512_h512-img.tif,HoVer-Net,clahe,0.0564385775862069,0.5350409374295801,0.1021064929293798,0.1021064929293798,0.0
W97943X3-x17920_y16896_w512_h512-img.tif,HoVer-Net,deconv,0.05628803245436106,0.5336137609855028,0.10183413249618337,0.10183413249618337,0.0
W97943X3-x13824_y17408_w512_h512-img.tif,HoVer-Net,baseline,0.08895632606490872,0.7733691534063512,0.15955942440930893,0.15955942440930893,0.0
W97943X3-x13824_y17408_w512_h512-img.tif,HoVer-Net,clahe,0.08895632606490872,0.7733691534063512,0.15955942440930893,0.15955942440930893,0.0
W97943X3-x13824_y17408_w512_h512-img.tif,HoVer-Net,deconv,0.08895632606490872,0.7733691534063512,0.15955942440930893,0.15955942440930893,0.0
W97939U8-x8704_y13824_w512_h512-img.tif,HoVer-Net,baseline,0.11286923174442191,0.47892011834319526,0.18268441571765673,0.18268441571765673,0.0
W97939U8-x8704_y13824_w512_h512-img.tif,HoVer-Net,clahe,0.11201268564356436,0.486854491662184,0.1821234530636885,0.1821234530636885,0.0
W97939U8-x8704_y13824_w512_h512-img.tif,HoVer-Net,deconv,0.11299160821643287,0.4852743410435718,0.18330285482068476,0.18330285482068476,0.0
W97943W5-x9216_y15872_w512_h512-img.tif,HoVer-Net,baseline,0.030885522312373227,0.32635632953784327,0.05643059818171289,0.05643059818171289,0.0
W97943W5-x9216_y15872_w512_h512-img.tif,HoVer-Net,clahe,0.030514153306613227,0.32635632953784327,0.05581009106007674,0.05581009106007674,0.0
W97943W5-x9216_y15872_w512_h512-img.tif,HoVer-Net,deconv,0.030885522312373227,0.32635632953784327,0.05643059818171289,0.05643059818171289,0.0
W97943W5-x16384_y15360_w512_h512-img.tif,HoVer-Net,baseline,0.03898326572008114,0.7006550840216462,0.0738572393605044,0.0738572393605044,0.0
W97943W5-x16384_y15360_w512_h512-img.tif,HoVer-Net,clahe,0.03898326572008114,0.7006550840216462,0.0738572393605044,0.0738572393605044,0.0
W97943W5-x16384_y15360_w512_h512-img.tif,HoVer-Net,deconv,0.03898326572008114,0.7006550840216462,0.0738572393605044,0.0738572393605044,0.0
X97655Y7-x9728_y11776_w512_h512-img.tif,HoVer-Net,baseline,0.018643826064908723,0.4125898649833421,0.03567556913373411,0.03567556913373411,0.0
X97655Y7-x9728_y11776_w512_h512-img.tif,HoVer-Net,clahe,0.018497933366733468,0.41434332807294405,0.03541480887543369,0.03541480887543369,0.0
X97655Y7-x9728_y11776_w512_h512-img.tif,HoVer-Net,deconv,0.018643826064908723,0.4125898649833421,0.03567556913373411,0.03567556913373411,0.0
W97939U8-x2560_y12288_w512_h512-img.tif,HoVer-Net,baseline,0.013010268762677486,0.28596307906652735,0.02488821523304282,0.02488821523304282,0.0
W97939U8-x2560_y12288_w512_h512-img.tif,HoVer-Net,clahe,0.01680372807017544,0.4270289097875305,0.03233506085901544,0.03233506085901544,0.0
W97939U8-x2560_y12288_w512_h512-img.tif,HoVer-Net,deconv,0.012853832665330661,0.28596307906652735,0.02460183090361536,0.02460183090361536,0.0
W97943X3-x17920_y17408_w512_h512-img.tif,HoVer-Net,baseline,0.051177421399594324,0.7952474759911352,0.09616615796918038,0.09616615796918038,0.0
W97943X3-x17920_y17408_w512_h512-img.tif,HoVer-Net,clahe,0.05192501550868486,0.6595666092095543,0.09627100368406864,0.09627100368406864,0.0
W97943X3-x17920_y17408_w512_h512-img.tif,HoVer-Net,deconv,0.051177421399594324,0.7952474759911352,0.09616615796918038,0.09616615796918038,0.0
W97943W4-x15488_y8778_w512_h512-img.tif,HoVer-Net,baseline,0.08337823275862069,0.3021766597748679,0.1306945203437826,0.1306945203437826,0.0
W97943W4-x15488_y8778_w512_h512-img.tif,HoVer-Net,clahe,0.08566230430528375,0.32178957041121065,0.13530548176768897,0.13530548176768897,0.0
W97943W4-x15488_y8778_w512_h512-img.tif,HoVer-Net,deconv,0.08337823275862069,0.3021766597748679,0.1306945203437826,0.1306945203437826,0.0
X97655Y7-x10240_y10752_w512_h512-img.tif,HoVer-Net,baseline,0.02577491125760649,0.6080373831775701,0.04945347299290047,0.04945347299290047,0.0
X97655Y7-x10240_y10752_w512_h512-img.tif,HoVer-Net,clahe,0.02577491125760649,0.6080373831775701,0.04945347299290047,0.04945347299290047,0.0
X97655Y7-x10240_y10752_w512_h512-img.tif,HoVer-Net,deconv,0.02577491125760649,0.6080373831775701,0.04945347299290047,0.04945347299290047,0.0
X97655Y7-x10752_y11264_w512_h512-img.tif,HoVer-Net,baseline,0.029118597870182557,0.6229869469401593,0.05563671872043117,0.05563671872043117,0.0
X97655Y7-x10752_y11264_w512_h512-img.tif,HoVer-Net,clahe,0.028768474448897796,0.6229869469401593,0.054997268843111874,0.054997268843111874,0.0
X97655Y7-x10752_y11264_w512_h512-img.tif,HoVer-Net,deconv,0.029118597870182557,0.6229869469401593,0.05563671872043117,0.05563671872043117,0.0
W97943W4-x11105_y14443_w512_h512-img.tif,HoVer-Net,baseline,0.14731237322515214,0.6931106471816284,0.2429818600031366,0.2429818600031366,0.0
W97943W4-x11105_y14443_w512_h512-img.tif,HoVer-Net,clahe,0.14731237322515214,0.6931106471816284,0.2429818600031366,0.2429818600031366,0.0
W97943W4-x11105_y14443_w512_h512-img.tif,HoVer-Net,deconv,0.14731237322515214,0.6931106471816284,0.2429818600031366,0.2429818600031366,0.0
W97943X3-x16896_y18432_w512_h512-img.tif,HoVer-Net,baseline,0.04177231237322515,0.5136899542044236,0.07726183584790908,0.07726183584790908,0.0
W97943X3-x16896_y18432_w512_h512-img.tif,HoVer-Net,clahe,0.04237397119341564,0.5136899542044236,0.07828985959206707,0.07828985959206707,0.0
W97943X3-x16896_y18432_w512_h512-img.tif,HoVer-Net,deconv,0.04177231237322515,0.5136899542044236,0.07726183584790908,0.07726183584790908,0.0
W97943W5-x15360_y16384_w512_h512-img.tif,HoVer-Net,baseline,0.042849898580121705,0.4540722082283795,0.0783098509969736,0.0783098509969736,0.0
W97943W5-x15360_y16384_w512_h512-img.tif,HoVer-Net,clahe,0.04105128042596349,0.43501259445843826,0.07502280658567312,0.07502280658567312,0.0
