Image,Model,Condition,Precision,Recall,F1_Score,Dice,Panoptic Quality
X98655X5-x7936_y19200_w256_h256-img.tif,HoVer-Net,baseline,0.95234375,0.02018713256603461,0.03953620368118057,0.03953620368118057,0.0
X98655X5-x7936_y19200_w256_h256-img.tif,HoVer-Net,laplacian,0.95234375,0.02018713256603461,0.03953620368118057,0.03953620368118057,0.0
X98655X5-x7936_y19200_w256_h256-img.tif,HoVer-Net,unsharp,0.95234375,0.02018713256603461,0.03953620368118057,0.03953620368118057,0.0
X98655X5-x9728_y17664_w256_h256-img.tif,HoVer-Net,baseline,0.9609375,0.014036060121939292,0.02766798418972332,0.02766798418972332,0.0
X98655X5-x9728_y17664_w256_h256-img.tif,HoVer-Net,laplacian,0.9609375,0.014036060121939292,0.02766798418972332,0.02766798418972332,0.0
X98655X5-x9728_y17664_w256_h256-img.tif,HoVer-Net,unsharp,0.96328125,0.020100420592742328,0.03937913193446393,0.03937913193446393,0.0
X98655X5-x14848_y15872_w256_h256-img.tif,HoVer-Net,baseline,0.95,0.020185252813651605,0.03953057442865967,0.03953057442865967,0.0
X98655X5-x14848_y15872_w256_h256-img.tif,HoVer-Net,laplacian,0.94384765625,0.032087248099332694,0.06206453684379515,0.06206453684379515,0.0
X98655X5-x14848_y15872_w256_h256-img.tif,HoVer-Net,unsharp,0.95,0.020185252813651605,0.03953057442865967,0.03953057442865967,0.0
X98655X5-x12288_y17408_w256_h256-img.tif,HoVer-Net,baseline,0.9558423913043478,0.04594210706763971,0.08767037931303061,0.08767037931303061,0.0
X98655X5-x12288_y17408_w256_h256-img.tif,HoVer-Net,laplacian,0.95751953125,0.06403160764722209,0.12003611489433333,0.12003611489433333,0.0
X98655X5-x12288_y17408_w256_h256-img.tif,HoVer-Net,unsharp,0.95625,0.019983347210657785,0.03914858230317762,0.03914858230317762,0.0
X98655X5-x12288_y17920_w256_h256-img.tif,HoVer-Net,baseline,0.9363839285714286,0.013792536577346705,0.027184654764604868,0.027184654764604868,0.0
X98655X5-x12288_y17920_w256_h256-img.tif,HoVer-Net,laplacian,0.9363839285714286,0.013792536577346705,0.027184654764604868,0.027184654764604868,0.0
X98655X5-x12288_y17920_w256_h256-img.tif,HoVer-Net,unsharp,0.9421875,0.019825743876376787,0.03883432619545967,0.03883432619545967,0.0
X98655X5-x8704_y17408_w256_h256-img.tif,HoVer-Net,baseline,0.9265625,0.019412708285592693,0.03802866579023311,0.03802866579023311,0.0
X98655X5-x8704_y17408_w256_h256-img.tif,HoVer-Net,laplacian,0.9265625,0.019412708285592693,0.03802866579023311,0.03802866579023311,0.0
X98655X5-x8704_y17408_w256_h256-img.tif,HoVer-Net,unsharp,0.9265625,0.019412708285592693,0.03802866579023311,0.03802866579023311,0.0
X98655X5-x10752_y17664_w256_h256-img.tif,HoVer-Net,baseline,0.9598214285714286,0.01419422988050439,0.027974757660529568,0.027974757660529568,0.0
X98655X5-x10752_y17664_w256_h256-img.tif,HoVer-Net,laplacian,0.925,0.05862547039017627,0.110262618737195,0.110262618737195,0.0
X98655X5-x10752_y17664_w256_h256-img.tif,HoVer-Net,unsharp,0.9484375,0.020036971017363174,0.03924484386112368,0.03924484386112368,0.0
X98655X5-x12288_y14080_w256_h256-img.tif,HoVer-Net,baseline,0.9676339285714286,0.01420170682566463,0.02799257405763177,0.02799257405763177,0.0
X98655X5-x12288_y14080_w256_h256-img.tif,HoVer-Net,laplacian,0.96484375,0.02022965159134466,0.03962842336633028,0.03962842336633028,0.0
