Image,Model,Condition,Precision,Recall,F1_Score,Dice,Panoptic Quality
W97933U4-x14715_y12825_w512_h512-img.tif,SAM,baseline,0.7835582569279901,0.8698962503063475,0.8244731096210726,0.8244731096210726,0.3706965350079289
W97933U4-x14715_y12825_w512_h512-img.tif,SAM,clahe,0.7775380116128849,0.8948451923862429,0.8320774209230957,0.8320774209230957,0.4441018201900157
W97933U4-x14715_y12825_w512_h512-img.tif,SAM,deconv,0.2334939151944542,0.9993791356915285,0.37854497182588676,0.37854497182588676,0.32099183923834146
W97728Y3-x7680_y19456_w512_h512-img.tif,SAM,baseline,0.03971384866642897,0.9875119161105815,0.07635692198827262,0.07635692198827262,0.6269436454901235
W97728Y3-x7680_y19456_w512_h512-img.tif,SAM,clahe,0.04019636509133439,0.9959961868446139,0.07727410563062563,0.07727410563062563,0.6347760890175632
W97728Y3-x7680_y19456_w512_h512-img.tif,SAM,deconv,0.040225892564434804,0.982554814108675,0.07728762213273944,0.07728762213273944,0.5656551351593858
W97938W4-x6380_y13137_w512_h512-img.tif,SAM,baseline,0.15109591764939811,0.9998481781376518,0.26252009726411457,0.26252009726411457,0.40606385323936967
W97938W4-x6380_y13137_w512_h512-img.tif,SAM,clahe,0.15621801321027076,0.903669028340081,0.26638570842501774,0.26638570842501774,0.4380186277831568
W97938W4-x6380_y13137_w512_h512-img.tif,SAM,deconv,0.15103475951157058,0.9999746963562753,0.2624321407819374,0.2624321407819374,0.3617271044334573
W97937Z5-x15698_y14637_w512_h512-img.tif,SAM,baseline,0.29582123649516917,0.36577902015595115,0.32710145118212797,0.32710145118212797,0.020128355916128868
W97937Z5-x15698_y14637_w512_h512-img.tif,SAM,clahe,0.1579442990716512,0.5576872149477711,0.24617003175675237,0.24617003175675237,0.028077498714107283
W97937Z5-x15698_y14637_w512_h512-img.tif,SAM,deconv,0.17231059082122285,0.5166985434750625,0.25843672273978247,0.25843672273978247,0.053298811695262543
W97727X8-x9728_y11776_w512_h512-img.tif,SAM,baseline,0.017633536173089926,0.9930374238468234,0.03465175517517586,0.03465175517517586,0.2907376972234564
W97727X8-x9728_y11776_w512_h512-img.tif,SAM,clahe,0.017687554752730855,0.9928198433420365,0.03475591642736905,0.03475591642736905,0.29074157738863365
