Image,Model,Condition,Precision,Recall,F1_Score,Dice,Panoptic Quality
X98655X5-x10240_y15360_w256_h256-img.tif,SAM,baseline,0.9532991640127388,0.6408798193526805,0.7664762895465957,0.7664762895465957,0.190283017120382
X98655X5-x10240_y15360_w256_h256-img.tif,SAM,laplacian,0.9122525904561339,0.9998996403780213,0.9540673827345708,0.9540673827345708,0.17475281900207026
X98655X5-x10240_y15360_w256_h256-img.tif,SAM,unsharp,0.9519027756321129,0.6183825374257756,0.7497236952840616,0.7497236952840616,0.19478643334144116
X98655X5-x10496_y14592_w256_h256-img.tif,SAM,baseline,0.9606939484605733,0.6624461341363992,0.7841689070085773,0.7841689070085773,0.2767846987601612
X98655X5-x10496_y14592_w256_h256-img.tif,SAM,laplacian,0.9597365269461078,0.666672212701529,0.7868005851570401,0.7868005851570401,0.24015029223767323
X98655X5-x10496_y14592_w256_h256-img.tif,SAM,unsharp,0.9510824546085477,0.7068199590702627,0.8109573351150139,0.8109573351150139,0.22994010388079072
X98655X5-x10496_y15360_w256_h256-img.tif,SAM,baseline,0.9690297542043984,0.6279214029440365,0.7620452510783755,0.7620452510783755,0.2761530779197269
X98655X5-x10496_y15360_w256_h256-img.tif,SAM,laplacian,0.9609468420480487,0.5928142708647688,0.733269737251405,0.733269737251405,0.21696572227512095
X98655X5-x10496_y15360_w256_h256-img.tif,SAM,unsharp,0.9671168367208856,0.5991013647185058,0.7398726642165744,0.7398726642165744,0.23305285023988564
X98655X5-x10496_y16896_w256_h256-img.tif,SAM,baseline,0.9673094113140084,0.6217272115431967,0.7569398645002698,0.7569398645002698,0.22944679063474413
X98655X5-x10496_y16896_w256_h256-img.tif,SAM,laplacian,0.9681509139545252,0.5703475106288678,0.7178199923559246,0.7178199923559246,0.18015729748485093
X98655X5-x10496_y16896_w256_h256-img.tif,SAM,unsharp,0.9680640347307014,0.5856629294637141,0.7298054697567861,0.7298054697567861,0.1785391641302554
X98655X5-x10731_y17602_w256_h256-img.tif,SAM,baseline,0.9164962300436521,0.9997336130396417,0.9563070846704518,0.9563070846704518,0.24129855199116704
X98655X5-x10731_y17602_w256_h256-img.tif,SAM,laplacian,0.9164936809329018,0.999700314669597,0.9562904625773417,0.9562904625773417,0.16961313203936138
X98655X5-x10731_y17602_w256_h256-img.tif,SAM,unsharp,0.9164860988189337,0.9999667016299553,0.9564081944632435,0.9564081944632435,0.19201266675693923
X98655X5-x10752_y15616_w256_h256-img.tif,SAM,baseline,0.9605276771857216,0.6196745932415519,0.75333975756961,0.75333975756961,0.20323197024772527
X98655X5-x10752_y15616_w256_h256-img.tif,SAM,laplacian,0.9529277303776945,0.5982811848143512,0.7350637634805429,0.7350637634805429,0.17338071590087095
X98655X5-x10752_y15616_w256_h256-img.tif,SAM,unsharp,0.9143332620843384,0.9993658740091781,0.9549604139591622,0.9549604139591622,0.1897806214063436
X98655X5-x10752_y15872_w256_h256-img.tif,SAM,baseline,0.9720932618565162,0.6249319812020777,0.760779669182592,0.760779669182592,0.2857862204189435
X98655X5-x10752_y15872_w256_h256-img.tif,SAM,laplacian,0.9252620641178448,0.9984499958776486,0.9604638067366184,0.9604638067366184,0.2143911998683379
X98655X5-x10752_y15872_w256_h256-img.tif,SAM,unsharp,0.9251114140006432,0.9960755214774507,0.9592828444839688,0.9592828444839688,0.23934104872642772
X98655X5-x10752_y17664_w256_h256-img.tif,SAM,baseline,0.9245596898751565,0.9998514557338086,0.9607326936801205,0.9607326936801205,0.1858324297154756
X98655X5-x10752_y17664_w256_h256-img.tif,SAM,laplacian,0.9245501854197506,0.9999174754076715,0.9607580382983785,0.9607580382983785,0.13002386704502558
X98655X5-x10752_y17664_w256_h256-img.tif,SAM,unsharp,0.9244997939654778,0.9998019409784116,0.9606774983942717,0.9606774983942717,0.1811372789779628
X98655X5-x10752_y17920_w256_h256-img.tif,SAM,baseline,0.9302062643239114,0.9986058031394033,0.9631932414153159,0.9631932414153159,0.1926658944654785
X98655X5-x10752_y17920_w256_h256-img.tif,SAM,laplacian,0.9302730172295389,0.9998523791559368,0.9638085600898066,0.9638085600898066,0.15546275903995832
X98655X5-x10752_y17920_w256_h256-img.tif,SAM,unsharp,0.9302059147012098,0.9988190332474945,0.963292230544724,0.963292230544724,0.17853007676888052
X98655X5-x11008_y15104_w256_h256-img.tif,SAM,baseline,0.9717275739588548,0.6706646923330043,0.7936025854432536,0.7936025854432536,0.1413514144474981
X98655X5-x11008_y15104_w256_h256-img.tif,SAM,laplacian,0.9670829499145523,0.605182625863771,0.7444821130395183,0.7444821130395183,0.14422813219754313
X98655X5-x11008_y15104_w256_h256-img.tif,SAM,unsharp,0.9679070342440351,0.6440769990128332,0.7734650530995307,0.7734650530995307,0.1379521274719939
X98655X5-x11776_y14592_w256_h256-img.tif,SAM,baseline,0.9645425776754891,0.6594925089335475,0.7833680562316244,0.7833680562316244,0.15494704158739106
X98655X5-x11776_y14592_w256_h256-img.tif,SAM,laplacian,0.9670855628098768,0.6458545061141527,0.7744820537013013,0.7744820537013013,0.14761673736591585
X98655X5-x11776_y14592_w256_h256-img.tif,SAM,unsharp,0.962147538307251,0.6762285676818673,0.7942396734788175,0.7942396734788175,0.13215713114180766
X98655X5-x12032_y17408_w256_h256-img.tif,SAM,baseline,0.9721227301189731,0.6317879932282849,0.7658474501021143,0.7658474501021143,0.24156181936042717
X98655X5-x12032_y17408_w256_h256-img.tif,SAM,laplacian,0.9373779296875,1.0,0.9676768949656607,0.9676768949656607,0.19513381496334312
X98655X5-x12032_y17408_w256_h256-img.tif,SAM,unsharp,0.9373769741359579,0.999983721838781,0.9676687643245883,0.9676687643245883,0.1987622853834805
X98655X5-x12288_y14080_w256_h256-img.tif,SAM,baseline,0.9315313115279538,0.9997379154449705,0.9644301877251754,0.9644301877251754,0.18661147464844144
X98655X5-x12288_y14080_w256_h256-img.tif,SAM,laplacian,0.9315840087924165,0.999672394306213,0.9644279393173198,0.9644279393173198,0.1721005288232285
X98655X5-x12288_y14080_w256_h256-img.tif,SAM,unsharp,0.9315392599829039,0.9996396337368344,0.9643887137427801,0.9643887137427801,0.18075991231980046
X98655X5-x12288_y17408_w256_h256-img.tif,SAM,baseline,0.9346283551798331,0.999967347471878,0.9661944724886421,0.9661944724886421,0.2039187360177021
X98655X5-x12288_y17408_w256_h256-img.tif,SAM,laplacian,0.9736300924118183,0.6106349284093321,0.7505468264001766,0.7505468264001766,0.1778989938737722
X98655X5-x12288_y17408_w256_h256-img.tif,SAM,unsharp,0.93463563525372,0.999853063623451,0.9661450116741339,0.9661450116741339,0.16974916397033799
X98655X5-x12288_y17920_w256_h256-img.tif,SAM,baseline,0.9724962254655259,0.6353279631760644,0.7685592124888138,0.7685592124888138,0.22225866199683075
X98655X5-x12288_y17920_w256_h256-img.tif,SAM,laplacian,0.9688344770222499,0.6127404241328291,0.7506998851986868,0.7506998851986868,0.2314441220401953
X98655X5-x12288_y17920_w256_h256-img.tif,SAM,unsharp,0.9281756993940874,0.9997534111458162,0.9626358319285165,0.9626358319285165,0.24491170783435726
X98655X5-x12800_y9728_w256_h256-img.tif,SAM,baseline,0.964390359168242,0.6730930980456832,0.7928318197270652,0.7928318197270652,0.23665505281107427
X98655X5-x12800_y9728_w256_h256-img.tif,SAM,laplacian,0.966289846216519,0.6259091283911932,0.7597161473711603,0.7597161473711603,0.22225859330340583
