clip,grid,Mean_Dice,Mean_PQ
1.5,"(24, 24)",0.8225296836444499,0.7447306997762946
2.0,"(24, 24)",0.8361498699911062,0.7421076474382328
0.5,"(16, 16)",0.8292098275293691,0.7368122146622009
0.5,"(8, 8)",0.8318045328528969,0.7365397713344104
1.0,"(24, 24)",0.8278445056901332,0.7365296155623399
0.5,"(24, 24)",0.8278445056901332,0.7365296155623399
0.5,"(4, 4)",0.8303235790407768,0.7358616144149208
1.0,"(32, 32)",0.8308941766694259,0.7354212911208011
0.5,"(32, 32)",0.8308941766694259,0.7354212911208011
1.5,"(32, 32)",0.8308941766694259,0.7354212911208011
1.0,"(16, 16)",0.838402357953941,0.7338304846235137
0.5,"(12, 12)",0.8281115626378965,0.7330832868086417
2.0,"(32, 32)",0.8223837124855319,0.7323527169782897
2.5,"(32, 32)",0.8223837124855319,0.7323527169782897
2.5,"(24, 24)",0.8333139901094143,0.7280299424421192
1.5,"(16, 16)",0.8391127149177003,0.7272177002243515
1.0,"(4, 4)",0.8365694988646312,0.7239797393067202
1.0,"(12, 12)",0.8349496821311907,0.7236411068194732
1.0,"(8, 8)",0.8369010081383657,0.7216879360817192
2.0,"(16, 16)",0.8397791864459249,0.7160773874058776
1.5,"(12, 12)",0.8383559356812751,0.7154735401950418
3.0,"(24, 24)",0.8356267357406948,0.7126057768032409
3.0,"(32, 32)",0.7940125190932188,0.710019551879878
1.5,"(8, 8)",0.8414480327028088,0.7098765124193775
2.5,"(16, 16)",0.8410362812398202,0.7091591883781672
1.5,"(4, 4)",0.8383630174616394,0.7045820807741239
2.0,"(12, 12)",0.8395370687114716,0.7026795556945622
2.0,"(8, 8)",0.8410177712448266,0.6956570615269714
4.0,"(24, 24)",0.8267604828426262,0.6955192433116597
3.0,"(16, 16)",0.835259890228911,0.6944385689723841
4.0,"(32, 32)",0.7732218100213339,0.693790596067517
2.0,"(4, 4)",0.8363719716751974,0.6882941156252753
2.5,"(12, 12)",0.8351812267845509,0.6863898990199127
2.5,"(8, 8)",0.8350967978415689,0.6804927011756003
5.0,"(32, 32)",0.7478167537569116,0.6776002245608499
3.0,"(12, 12)",0.8314510217360128,0.6765378743507446
2.5,"(4, 4)",0.8258705363979835,0.6724867689463455
5.0,"(24, 24)",0.8084192807462003,0.6643706913161536
3.0,"(8, 8)",0.8207813175602083,0.6619694947868808
3.0,"(4, 4)",0.8158582811915835,0.6606002140575846
4.0,"(16, 16)",0.8079924648852469,0.6528023780024597
4.0,"(12, 12)",0.79835015680446,0.6389193741798084
4.0,"(8, 8)",0.7479480899429413,0.5881529323509973
7.5,"(32, 32)",0.6724698268996694,0.5864029721113326
4.0,"(4, 4)",0.7349052110602403,0.5802962545977634
5.0,"(16, 16)",0.7210329828046667,0.5438098215469629
5.0,"(12, 12)",0.6623481933963066,0.48255333064106465
5.0,"(4, 4)",0.6191844662721405,0.47576281697631867
5.0,"(8, 8)",0.6236066380085119,0.4710126609291293
7.5,"(4, 4)",0.5863773122537914,0.44564761058882163
10.0,"(4, 4)",0.5755856941863141,0.4455334189114749
10.0,"(32, 32)",0.5636999085482928,0.43660077070390324
7.5,"(8, 8)",0.5852588971870012,0.4329891283550375
7.5,"(24, 24)",0.5984289232688953,0.42780254216476593
10.0,"(8, 8)",0.5699089771969881,0.4243785393941871
7.5,"(12, 12)",0.5819493933561801,0.4232679557199436
10.0,"(24, 24)",0.5745071767060236,0.4168091172767035
10.0,"(12, 12)",0.563747606697352,0.40746937089583785
7.5,"(16, 16)",0.5783745605209849,0.4027086495767308
10.0,"(16, 16)",0.5551687826437774,0.3838096233886158
