clip,grid,Mean_Dice,Mean_PQ
7.5,"(32, 32)",0.16934805136637426,0.07514057098618508
7.5,"(24, 24)",0.16949905625624756,0.07489300136804292
10.0,"(24, 24)",0.1693265903604071,0.07488059059262323
1.0,"(16, 16)",0.1688323039857111,0.07484454580719366
10.0,"(32, 32)",0.1691142536127757,0.07482606143471851
3.0,"(24, 24)",0.16846262307951257,0.07481732046049928
3.0,"(16, 16)",0.16794325741608754,0.07470758432273891
4.0,"(16, 16)",0.16783563046399624,0.0746834642350448
0.5,"(12, 12)",0.16783563046399624,0.0746834642350448
1.5,"(16, 16)",0.16741558204728574,0.07463307122218972
4.0,"(24, 24)",0.16737721969795055,0.07462750471820098
0.5,"(16, 16)",0.16589098907018074,0.07462174253607731
2.5,"(16, 16)",0.167149588575505,0.07460706444184148
2.0,"(12, 12)",0.16688723881095396,0.07458802111786085
0.5,"(4, 4)",0.16668991346761655,0.07454970723611802
2.5,"(24, 24)",0.16425821210807762,0.07454943303523195
7.5,"(4, 4)",0.16671232772316022,0.07454699925056017
10.0,"(4, 4)",0.16671232772316022,0.07454699925056017
10.0,"(12, 12)",0.16679577368671666,0.07454618563042151
5.0,"(16, 16)",0.16641450891602647,0.07453705598385535
1.5,"(8, 8)",0.1665499373273371,0.07453456319775605
5.0,"(24, 24)",0.1665499373273371,0.07453456319775605
5.0,"(12, 12)",0.1665499373273371,0.07453456319775605
1.0,"(4, 4)",0.1665499373273371,0.07453456319775605
2.5,"(8, 8)",0.1665499373273371,0.07453456319775605
2.0,"(8, 8)",0.1665499373273371,0.07453456319775605
10.0,"(16, 16)",0.1666344744384475,0.07453328139118456
2.0,"(4, 4)",0.16652945454362414,0.0745321182166675
3.0,"(4, 4)",0.16652945454362414,0.0745321182166675
3.0,"(8, 8)",0.16652945454362414,0.0745321182166675
4.0,"(8, 8)",0.16652945454362414,0.0745321182166675
7.5,"(12, 12)",0.16652945454362414,0.0745321182166675
7.5,"(8, 8)",0.16652945454362414,0.0745321182166675
4.0,"(4, 4)",0.16652945454362414,0.0745321182166675
5.0,"(4, 4)",0.16652945454362414,0.0745321182166675
5.0,"(8, 8)",0.16652945454362414,0.0745321182166675
10.0,"(8, 8)",0.16652945454362414,0.0745321182166675
2.5,"(4, 4)",0.16652945454362414,0.0745321182166675
1.5,"(4, 4)",0.16652945454362414,0.0745321182166675
3.0,"(12, 12)",0.16621493007114646,0.07451896580698321
0.5,"(8, 8)",0.16621493007114646,0.07451896580698321
2.0,"(16, 16)",0.1660487789880153,0.074503816277485
1.0,"(8, 8)",0.1660487789880153,0.074503816277485
2.5,"(12, 12)",0.1660487789880153,0.074503816277485
1.0,"(12, 12)",0.1660487051730142,0.07450001802818369
1.5,"(12, 12)",0.1658391876613264,0.07448175757803278
4.0,"(12, 12)",0.1658391876613264,0.07448175757803278
7.5,"(16, 16)",0.1656540379167168,0.0744693032068589
2.5,"(32, 32)",0.15047915373161405,0.07422587084691012
2.0,"(32, 32)",0.15047915373161405,0.07422587084691012
1.5,"(32, 32)",0.15085935637673403,0.0741456219730499
0.5,"(32, 32)",0.15085935637673403,0.0741456219730499
1.0,"(32, 32)",0.15085935637673403,0.0741456219730499
1.0,"(24, 24)",0.1504263513983743,0.07411715584985507
0.5,"(24, 24)",0.1504263513983743,0.07411715584985507
1.5,"(24, 24)",0.14878925570511295,0.07405013235807419
2.0,"(24, 24)",0.15336608291344458,0.07400052576472614
5.0,"(32, 32)",0.14398547879349863,0.07370177439158968
4.0,"(32, 32)",0.14226302303526228,0.07366024577989473
3.0,"(32, 32)",0.12996363732341934,0.0733071685515546
