sigma,alpha,Mean_Dice,Mean_PQ
5.0,1.5,0.8580949860768515,0.7746948196831104
0.8,2.5,0.855684170411564,0.7719834629586813
3.0,0.5,0.855544051170772,0.7714928150686248
1.0,2.0,0.8541528453595263,0.7704545349776318
0.8,2.0,0.8535815927250688,0.7702290777672446
5.0,1.75,0.8495648766728561,0.7693085046802087
4.0,1.5,0.8524926163407844,0.7690937968117438
2.5,0.5,0.8519802436492451,0.7675613689621827
0.5,2.5,0.8508341742400239,0.7675559638241882
0.5,3.0,0.851051458679707,0.7675211120213054
0.5,2.0,0.8506349807059049,0.7670491923672388
4.0,1.75,0.8478669345628721,0.7668939845679029
0.5,1.25,0.8510156026368096,0.7666496845607517
1.0,1.75,0.8499591072831801,0.7664772453628736
0.5,1.75,0.8497209137608772,0.7660391375700107
0.8,1.75,0.8493864288368057,0.7660040101505577
1.2,1.75,0.8488281479356368,0.7659469170346861
4.0,0.5,0.8494757337752482,0.7657013269118136
2.0,0.5,0.8493104534180439,0.765589282335054
1.0,1.5,0.848767720244954,0.7654311267354301
3.0,1.5,0.8484815702584979,0.765415361254887
0.5,1.5,0.8489975604105763,0.7651747042228494
0.5,0.75,0.8495151623709839,0.7651350303161544
1.0,1.25,0.8486737524367974,0.7650022682651868
4.0,0.75,0.8484612056369344,0.7648267659134582
1.2,1.25,0.8482781121927224,0.7647752002929366
0.8,1.5,0.8479302552639281,0.7646337991612154
1.5,1.75,0.8472159892702004,0.7642813895479463
1.2,2.0,0.8471739745794596,0.7641919820373405
4.0,1.0,0.8483374055213444,0.7641379525792237
2.0,1.0,0.8483374055213444,0.7641379525792237
2.5,1.0,0.8483374055213444,0.7641379525792237
1.5,1.0,0.8483374055213444,0.7641379525792237
1.2,1.0,0.8483374055213444,0.7641379525792237
0.8,1.0,0.8483374055213444,0.7641379525792237
0.5,1.0,0.8483374055213444,0.7641379525792237
1.0,1.0,0.8483374055213444,0.7641379525792237
3.0,1.0,0.8483374055213444,0.7641379525792237
5.0,1.0,0.8483374055213444,0.7641379525792237
2.0,1.25,0.8474546486829532,0.7640269807780989
0.8,0.5,0.8462845879717599,0.7637251403377072
1.2,0.5,0.8460929904752014,0.7637175558517719
1.2,1.5,0.8467038828580669,0.7636254316137064
0.5,0.5,0.8465876828780498,0.7634838918882526
0.8,3.0,0.8462538520370986,0.7634394433260807
0.8,1.25,0.8469084639509316,0.7633244821261433
5.0,0.75,0.8465093835249755,0.7630965425315251
2.0,1.5,0.8461001470639248,0.7630596072281873
2.5,0.75,0.8461473833588813,0.7629370515524032
1.2,0.75,0.8460804076838411,0.762894853443909
1.5,1.25,0.8461897146023257,0.7628065000851447
4.0,1.25,0.8460683913067651,0.7625858270361322
2.0,1.75,0.8457170245263717,0.7625553389366516
1.0,0.75,0.8460493250208829,0.762444639822082
0.8,0.75,0.8459655579298403,0.7623245640413278
5.0,1.25,0.8455808044939611,0.7622414926197095
5.0,0.5,0.8455413257766365,0.7621819023410955
1.5,0.5,0.8452189827326654,0.7621745030853632
1.5,0.75,0.8453353818324292,0.7621538029949408
2.5,1.5,0.8448472228304231,0.7620625797070238
3.0,0.75,0.8460530991488501,0.7620011949649412
2.0,0.75,0.8447255204318629,0.761541678355428
2.5,1.75,0.8437764842667416,0.761354544505369
3.0,1.75,0.8429759465982317,0.7612916185229072
1.0,0.5,0.8432050020399333,0.7612015628999336
1.5,1.5,0.8438136540223096,0.7609255602523112
2.5,1.25,0.8443183894226953,0.7607452883698943
1.0,2.5,0.843675574850088,0.7606208178263683
3.0,2.0,0.8409285406731021,0.7605630633411978
3.0,1.25,0.8426377672896219,0.7591629150321153
1.5,2.0,0.8403741065331268,0.7580365064625059
2.5,2.0,0.8359410598097211,0.7549129237988333
2.0,2.0,0.8359542370137034,0.7545826583398396
1.2,2.5,0.8300701782719573,0.7485434072862546
1.0,3.0,0.8297392319899798,0.7479506980318126
5.0,3.0,0.8279116220946596,0.7461934524116192
1.5,2.5,0.8212573934821759,0.7417859219813714
2.0,2.5,0.8141032843588483,0.7360534104542652
4.0,2.0,0.8088245354277449,0.7302606886060934
1.2,3.0,0.8053494330185127,0.7268071501946167
2.5,2.5,0.8011191862111088,0.7243761651103489
5.0,2.0,0.795696555235892,0.7156323652134567
5.0,2.5,0.7873973146123568,0.7073562760742874
1.5,3.0,0.7730492846284299,0.6977266883211417
2.0,3.0,0.7722596105042151,0.6971042866605468
4.0,3.0,0.7731422306176582,0.6937772980058489
4.0,2.5,0.7678398362566505,0.6883291401544351
3.0,3.0,0.7630412220309869,0.6844653988610894
3.0,2.5,0.7598032140043877,0.6827067698398426
2.5,3.0,0.7531581467011192,0.6773376363132696
